index,lastName,givenName,year,location,citation,acmFellowProfile,dblpProfile,googleScholarProfile,affiliation,acmInterests,authorID,citation_histogram,citations,coauthors,hindex,i10index,imageLink,interests
1,Hassan,Ahmed E.,2022,Canada,For contributions to the quality assurance of large scale software systems,https://awards.acm.org/award-recipients/hassan_3864774,https://dblp.org/pid/161/8687,https://scholar.google.com/citations?user=9hwXx34AAAAJ,"ACM Fellow, IEEE Fellow, NSERC Steacie Fellow, ACM Influential/IEEE Distinguished …",Mining Software Repositories Software Analytics Empirical Software Engineering Software Performance Engineering AIOps,9hwXx34AAAAJ,"[('2005', '144'), ('2006', '148'), ('2007', '167'), ('2008', '208'), ('2009', '272'), ('2010', '427'), ('2011', '579'), ('2012', '788'), ('2013', '1126'), ('2014', '1384'), ('2015', '1656'), ('2016', '2084'), ('2017', '2299'), ('2018', '2770'), ('2019', '3288'), ('2020', '3293'), ('2021', '3957'), ('2022', '4072'), ('2023', '3100')]",32630.0,,97.0,398.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=9hwXx34AAAAJ&citpid=6,"['Mining Software Repositories', 'Software Analytics', 'Empirical Software Engineering', 'Software']"
2,Pothen,Alex,2022,USA,"For contributions to and leadership in combinatorial scientific computing
",https://awards.acm.org/award-recipients/pothen_5005655,https://dblp.org/pid/03/854,https://scholar.google.com/citations?user=_Fah5fwAAAAJ,"Professor of Computer Science, Purdue University",Combinatorial Scientific Computing Parallel Computing Graph Algorithms Bioinformatics,_Fah5fwAAAAJ,"[('1990', '46'), ('1991', '38'), ('1992', '93'), ('1993', '124'), ('1994', '149'), ('1995', '163'), ('1996', '147'), ('1997', '202'), ('1998', '129'), ('1999', '114'), ('2000', '117'), ('2001', '127'), ('2002', '107'), ('2003', '106'), ('2004', '175'), ('2005', '202'), ('2006', '262'), ('2007', '273'), ('2008', '313'), ('2009', '297'), ('2010', '245'), ('2011', '310'), ('2012', '350'), ('2013', '357'), ('2014', '405'), ('2015', '350'), ('2016', '392'), ('2017', '360'), ('2018', '316'), ('2019', '322'), ('2020', '311'), ('2021', '281'), ('2022', '296'), ('2023', '221')]",7851.0,,36.0,81.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=_Fah5fwAAAAJ&citpid=2,"['Combinatorial Scientific Computing', 'Parallel Computing', 'Graph Algorithms', 'Bioinformatics']"
3,Kemper,Alfons,2022,Germany,"For contributions to database management system technology
",https://awards.acm.org/award-recipients/kemper_4001152,https://dblp.org/pid/k/AlfonsKemper,https://scholar.google.com/citations?hl=en&user=5n3YivwAAAAJ,,[],5n3YivwAAAAJ,"[('1988', '79'), ('1989', '64'), ('1990', '66'), ('1991', '78'), ('1992', '75'), ('1993', '138'), ('1994', '120'), ('1995', '147'), ('1996', '150'), ('1997', '153'), ('1998', '162'), ('1999', '155'), ('2000', '174'), ('2001', '153'), ('2002', '176'), ('2003', '190'), ('2004', '266'), ('2005', '286'), ('2006', '292'), ('2007', '282'), ('2008', '303'), ('2009', '406'), ('2010', '466'), ('2011', '517'), ('2012', '530'), ('2013', '662'), ('2014', '721'), ('2015', '737'), ('2016', '796'), ('2017', '819'), ('2018', '876'), ('2019', '878'), ('2020', '1158'), ('2021', '1281'), ('2022', '1397'), ('2023', '1105')]",16172.0,,65.0,209.0,/citations/images/avatar_scholar_128.png,"['Database', 'Big data', 'Query Optimization']"
4,Anandkumar,Anima,2022,USA,For contributions to tensor methods for probabilistic models and neural operators,https://awards.acm.org/award-recipients/anandkumar_6110403,https://dblp.org/pid/25/1529,https://scholar.google.com/citations?user=bEcLezcAAAAJ,California Institute of Technology and NVIDIA,Machine Learning and Artificial Intelligence,bEcLezcAAAAJ,"[('2009', '71'), ('2010', '83'), ('2011', '149'), ('2012', '190'), ('2013', '291'), ('2014', '483'), ('2015', '533'), ('2016', '714'), ('2017', '756'), ('2018', '993'), ('2019', '1374'), ('2020', '1776'), ('2021', '2766'), ('2022', '4870'), ('2023', '6357')]",21570.0,,67.0,205.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=bEcLezcAAAAJ&citpid=3,['Machine Learning and Artificial Intelligence']
5,Sabharwal,Ashutosh,2022,USA,For the invention of full-duplex wireless and open-source wireless research platforms,https://awards.acm.org/award-recipients/sabharwal_6171395,https://dblp.org/pid/45/284,https://scholar.google.com/citations?user=MiqMO-kAAAAJ,"Department Chair and Ernest D. Butcher Professor, Department of Electrical and Computer …",Wireless Communications Wireless Platforms Digital Health Medical Devices Quantitative Behavioral Sciences,MiqMO-kAAAAJ,"[('2002', '68'), ('2003', '158'), ('2004', '312'), ('2005', '463'), ('2006', '576'), ('2007', '672'), ('2008', '763'), ('2009', '723'), ('2010', '771'), ('2011', '674'), ('2012', '798'), ('2013', '967'), ('2014', '1100'), ('2015', '1429'), ('2016', '1677'), ('2017', '1969'), ('2018', '1516'), ('2019', '1570'), ('2020', '1337'), ('2021', '1160'), ('2022', '1110'), ('2023', '826')]",20881.0,,60.0,171.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=MiqMO-kAAAAJ&citpid=3,"['Wireless Communications', 'Wireless Platforms', 'Digital Health', 'Medical Devices', 'Quantitative Behavioral Sciences']"
6,Curtis,Bill,2022,USA,"For contributions to software process,  software measurement, and human factors in software engineering",https://awards.acm.org/award-recipients/curtis_1822345,https://dblp.org/pid/125/0425,https://scholar.google.com/citations?user=D5IKxV8AAAAJ,CAST Software,software engineering human-computer interaction software management workforce management coaching behavior,D5IKxV8AAAAJ,"[('1984', '84'), ('1985', '74'), ('1986', '87'), ('1987', '71'), ('1988', '105'), ('1989', '161'), ('1990', '145'), ('1991', '202'), ('1992', '287'), ('1993', '328'), ('1994', '417'), ('1995', '545'), ('1996', '602'), ('1997', '534'), ('1998', '612'), ('1999', '594'), ('2000', '550'), ('2001', '689'), ('2002', '779'), ('2003', '727'), ('2004', '787'), ('2005', '888'), ('2006', '908'), ('2007', '797'), ('2008', '793'), ('2009', '803'), ('2010', '816'), ('2011', '825'), ('2012', '868'), ('2013', '843'), ('2014', '821'), ('2015', '778'), ('2016', '731'), ('2017', '679'), ('2018', '631'), ('2019', '617'), ('2020', '529'), ('2021', '518'), ('2022', '435'), ('2023', '295')]",22767.0,,49.0,100.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=D5IKxV8AAAAJ&citpid=1,"['software engineering', 'human-computer interaction', 'software management', 'workforce management', 'coaching behavior']"
7,Barak,Boaz,2022,USA,"For contributions to theoretical computer science, in particular cryptography and computational complexity, and service to the theory community",https://awards.acm.org/award-recipients/barak_5889067,https://dblp.org/pid/b/BBarak,https://scholar.google.com/citations?user=I0fbJ6cAAAAJ,Harvard University,Computer Science Computational Complexity Algorithms Cryptography Optimization,I0fbJ6cAAAAJ,"[('2002', '62'), ('2003', '128'), ('2004', '149'), ('2005', '194'), ('2006', '261'), ('2007', '289'), ('2008', '353'), ('2009', '367'), ('2010', '521'), ('2011', '624'), ('2012', '757'), ('2013', '867'), ('2014', '994'), ('2015', '1032'), ('2016', '1230'), ('2017', '1069'), ('2018', '1092'), ('2019', '1122'), ('2020', '1147'), ('2021', '1356'), ('2022', '1659'), ('2023', '1400')]",16971.0,,54.0,90.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=I0fbJ6cAAAAJ&citpid=1,"['Computer Science', 'Computational Complexity', 'Algorithms', 'Cryptography', 'Optimization']"
8,de Supinski,Bronis R.,2022,USA,For contributions to the design of large-scale systems and their programming systems and software,https://awards.acm.org/award-recipients/desupinski_4862751,https://dblp.org/pid/85/5840,https://scholar.google.com/citations?user=iuEBM58AAAAJ,Lawrence Livermore National Laboratory,,iuEBM58AAAAJ,"[('2003', '41'), ('2004', '56'), ('2005', '67'), ('2006', '116'), ('2007', '165'), ('2008', '260'), ('2009', '287'), ('2010', '401'), ('2011', '507'), ('2012', '645'), ('2013', '838'), ('2014', '929'), ('2015', '1129'), ('2016', '1142'), ('2017', '1082'), ('2018', '978'), ('2019', '1043'), ('2020', '844'), ('2021', '753'), ('2022', '673'), ('2023', '447')]",12908.0,,61.0,162.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=iuEBM58AAAAJ&citpid=1,[]
9,Kuo,Chung C,2022,USA,"For contributions to technologies, applications, and mentorship in visual computing",https://awards.acm.org/award-recipients/kuo_3398864,https://dblp.org/pid/32/1320,https://scholar.google.com/citations?user=7zNrjLsAAAAJ,"Distinguished Professor, National Taiwan University of Science & Technology",Materials Science,7zNrjLsAAAAJ,"[('2004', '14'), ('2005', '21'), ('2006', '34'), ('2007', '47'), ('2008', '74'), ('2009', '88'), ('2010', '145'), ('2011', '162'), ('2012', '144'), ('2013', '177'), ('2014', '166'), ('2015', '166'), ('2016', '195'), ('2017', '226'), ('2018', '226'), ('2019', '308'), ('2020', '322'), ('2021', '364'), ('2022', '476'), ('2023', '443')]",3861.0,,31.0,113.0,/citations/images/avatar_scholar_128.png,['Materials Science']
10,Daskalakis,Constantinos,2022,USA,"For fundamental contributions to algorithmic game theory, mechanism design, sublinear algorithms and theoretical machine learning",https://awards.acm.org/award-recipients/daskalakis_4121823,https://dblp.org/pid/d/ConstantinosDaskalakis,https://scholar.google.com/citations?user=iTv2cOgAAAAJ,"Professor of Computer Science, MIT",theoretical computer science economics probability theory learning statistics,iTv2cOgAAAAJ,"[('2006', '31'), ('2007', '75'), ('2008', '189'), ('2009', '224'), ('2010', '238'), ('2011', '276'), ('2012', '252'), ('2013', '343'), ('2014', '361'), ('2015', '469'), ('2016', '520'), ('2017', '542'), ('2018', '661'), ('2019', '880'), ('2020', '1020'), ('2021', '1202'), ('2022', '1406'), ('2023', '1091')]",9992.0,,55.0,114.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=iTv2cOgAAAAJ&citpid=2,"['theoretical computer science', 'economics', 'probability theory', 'learning', 'statistics']"
